time,sgReading
14/01/16 00:03:15,6.666667
14/01/16 00:08:15,6.666667
14/01/16 00:13:15,6.833333
14/01/16 00:18:15,7
14/01/16 00:23:15,7.055556
14/01/16 00:28:15,7.222222
14/01/16 00:33:15,7.222222
14/01/16 00:38:15,7.222222
14/01/16 00:43:15,7.222222
14/01/16 00:48:15,7.166667
14/01/16 00:53:15,7.166667
14/01/16 00:58:15,7.111111
14/01/16 01:03:15,7.055556
14/01/16 01:08:15,7.111111
14/01/16 01:13:15,7.055556
14/01/16 01:18:15,7.055556
14/01/16 01:23:15,7
14/01/16 01:28:15,7
14/01/16 01:33:15,7.055556
14/01/16 01:38:15,7.111111
14/01/16 01:43:15,6.944444
14/01/16 01:48:15,6.777778
14/01/16 01:53:15,6.555556
14/01/16 01:58:15,6.722222
14/01/16 02:03:15,6.833333
14/01/16 02:08:15,6.833333
14/01/16 02:13:15,6.833333
14/01/16 02:18:15,6.833333
14/01/16 02:23:15,6.833333
14/01/16 02:28:15,6.833333
14/01/16 02:33:15,6.777778
14/01/16 02:38:15,6.777778
14/01/16 02:43:15,6.777778
14/01/16 02:48:15,6.722222
14/01/16 02:53:15,6.666667
14/01/16 02:58:15,6.611111
14/01/16 03:03:15,6.555556
14/01/16 03:08:15,6.444444
14/01/16 03:13:15,6.333333
14/01/16 03:18:15,6.277778
14/01/16 03:23:15,6.222222
14/01/16 03:28:15,6.222222
14/01/16 03:33:15,6.277778
14/01/16 03:38:15,6.222222
14/01/16 03:43:15,6.166667
14/01/16 03:48:15,6.111111
14/01/16 03:53:15,6.111111
14/01/16 03:58:15,5.944444
14/01/16 04:03:15,5.888889
14/01/16 04:08:15,5.722222
14/01/16 04:13:14,5.666667
14/01/16 04:18:14,5.777778
14/01/16 04:23:15,5.833333
14/01/16 04:28:14,5.888889
14/01/16 04:33:14,5.944444
14/01/16 04:38:14,6.055556
14/01/16 04:43:14,5.833333
14/01/16 04:48:14,5.666667
14/01/16 04:53:14,5.666667
14/01/16 04:58:14,5.611111
14/01/16 05:03:14,5.666667
14/01/16 05:08:14,5.611111
14/01/16 05:13:14,5.555556
14/01/16 05:18:14,5.611111
14/01/16 05:23:14,5.666667
14/01/16 05:28:14,5.777778
14/01/16 05:33:14,5.777778
14/01/16 05:38:14,5.833333
14/01/16 05:43:14,5.777778
14/01/16 05:48:14,5.777778
14/01/16 05:53:14,5.777778
14/01/16 05:58:14,5.777778
14/01/16 06:03:14,5.555556
14/01/16 06:08:14,5.611111
14/01/16 06:13:14,5.666667
14/01/16 06:18:14,5.555556
14/01/16 06:23:14,5.555556
14/01/16 06:28:14,5.666667
